Data,Vendas
6/12/2022,870
7/12/2022,868
8/12/2022,1189
9/12/2022,742
10/12/2022,317
11/12/2022,685
12/12/2022,1366
13/12/2022,1213
14/12/2022,1055
15/12/2022,1343
16/12/2022,832
17/12/2022,240
18/12/2022,235
19/12/2022,1050
20/12/2022,711
21/12/2022,745
22/12/2022,1009
23/12/2022,18
24/12/2022,40
25/12/2022,67
26/12/2022,821
27/12/2022,572
28/12/2022,429
29/12/2022,638
30/12/2022,106
31/12/2022,54
1/1/2023,144
2/1/2023,814
3/1/2023,679
4/1/2023,712
5/1/2023,1229
6/1/2023,821
7/1/2023,319
8/1/2023,317
9/1/2023,1317
10/1/2023,807
11/1/2023,923
12/1/2023,1265
13/1/2023,892
14/1/2023,289
15/1/2023,566
16/1/2023,1692
17/1/2023,1097
18/1/2023,1302
19/1/2023,1405
20/1/2023,945
